Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.372494	LA	0	1	LastDelay	0.258523	258523	1	3
0.372494	LA	0	1	FullDelay	0.258523	258523	1	3
0.90158	LA	0	2	LastDelay	0.258523	258523	1	3
0.90158	LA	0	2	FullDelay	0.258523	258523	1	3
1.11164	LA	0	0	LastDelay	0.258523	258523	1	3
1.11164	LA	0	0	FullDelay	1.11164	1.11164e+06	2	3
1.28654	Melbourne	0	0	LastDelay	0.0999645	99964.5	1	4
1.28654	Melbourne	0	0	FullDelay	1.28654	1.28654e+06	2	4
1.31321	Osaka	0	0	LastDelay	0.0119653	11965.3	1	3
1.31321	Osaka	0	0	FullDelay	1.31321	1.31321e+06	2	3
1.61536	LA	0	3	LastDelay	0.258523	258523	1	3
1.61536	LA	0	3	FullDelay	0.258523	258523	1	3
1.72076	LA	0	4	LastDelay	0.258523	258523	1	3
1.72076	LA	0	4	FullDelay	0.258523	258523	1	3
1.79279	Melbourne	0	1	LastDelay	0.0999645	99964.5	1	4
1.79279	Melbourne	0	1	FullDelay	0.0999645	99964.5	1	4
2.04973	Jakarta	0	0	LastDelay	0.0791512	79151.2	1	3
2.04973	Jakarta	0	0	FullDelay	2.04973	2.04973e+06	2	3
2.21481	Melbourne	0	2	LastDelay	0.0999645	99964.5	1	4
2.21481	Melbourne	0	2	FullDelay	0.0999645	99964.5	1	4
2.35296	LA	0	5	LastDelay	0.258523	258523	1	3
2.35296	LA	0	5	FullDelay	0.258523	258523	1	3
2.41077	Osaka	0	1	LastDelay	0.0119653	11965.3	1	3
2.41077	Osaka	0	1	FullDelay	0.0119653	11965.3	1	3
2.73213	Jakarta	0	1	LastDelay	0.0791512	79151.2	1	3
2.73213	Jakarta	0	1	FullDelay	0.0791512	79151.2	1	3
2.9897	Jakarta	0	2	LastDelay	0.0791512	79151.2	1	3
2.9897	Jakarta	0	2	FullDelay	0.0791512	79151.2	1	3
3.08131	Melbourne	0	3	LastDelay	0.0999645	99964.5	1	4
3.08131	Melbourne	0	3	FullDelay	0.0999645	99964.5	1	4
3.15777	Jakarta	0	3	LastDelay	0.0791512	79151.2	1	3
3.15777	Jakarta	0	3	FullDelay	0.0791512	79151.2	1	3
3.52652	Osaka	0	2	LastDelay	0.0119653	11965.3	1	3
3.52652	Osaka	0	2	FullDelay	0.0119653	11965.3	1	3
3.88767	LA	0	6	LastDelay	0.258523	258523	1	3
3.88767	LA	0	6	FullDelay	0.258523	258523	1	3
4.57989	Melbourne	0	4	LastDelay	0.0999645	99964.5	1	4
4.57989	Melbourne	0	4	FullDelay	0.0999645	99964.5	1	4
4.69922	Osaka	0	3	LastDelay	0.0119653	11965.3	1	3
4.69922	Osaka	0	3	FullDelay	0.0119653	11965.3	1	3
4.82857	Jakarta	0	4	LastDelay	0.0791512	79151.2	1	3
4.82857	Jakarta	0	4	FullDelay	0.0791512	79151.2	1	3
5.11427	Jakarta	0	5	LastDelay	0.0791512	79151.2	1	3
5.11427	Jakarta	0	5	FullDelay	0.0791512	79151.2	1	3
5.17477	Melbourne	0	5	LastDelay	0.0999645	99964.5	1	4
5.17477	Melbourne	0	5	FullDelay	0.0999645	99964.5	1	4
5.63546	LA	0	7	LastDelay	0.258523	258523	1	3
5.63546	LA	0	7	FullDelay	0.258523	258523	1	3
5.74961	Osaka	0	4	LastDelay	0.0119653	11965.3	1	3
5.74961	Osaka	0	4	FullDelay	0.0119653	11965.3	1	3
6.00891	Jakarta	0	6	LastDelay	0.0791512	79151.2	1	3
6.00891	Jakarta	0	6	FullDelay	0.0791512	79151.2	1	3
6.59839	LA	0	8	LastDelay	0.258523	258523	1	3
6.59839	LA	0	8	FullDelay	0.258523	258523	1	3
6.67712	Osaka	0	5	LastDelay	0.0119653	11965.3	1	3
6.67712	Osaka	0	5	FullDelay	0.0119653	11965.3	1	3
6.79029	Jakarta	0	7	LastDelay	0.0791512	79151.2	1	3
6.79029	Jakarta	0	7	FullDelay	0.0791512	79151.2	1	3
7.02818	Melbourne	0	6	LastDelay	0.0999645	99964.5	1	4
7.02818	Melbourne	0	6	FullDelay	0.0999645	99964.5	1	4
7.26665	Melbourne	0	7	LastDelay	0.0999645	99964.5	1	4
7.26665	Melbourne	0	7	FullDelay	0.0999645	99964.5	1	4
7.50992	Jakarta	0	8	LastDelay	0.0791512	79151.2	1	3
7.50992	Jakarta	0	8	FullDelay	0.0791512	79151.2	1	3
7.77748	LA	0	9	LastDelay	0.258523	258523	1	3
7.77748	LA	0	9	FullDelay	0.258523	258523	1	3
8.32205	Jakarta	0	9	LastDelay	0.0791512	79151.2	1	3
8.32205	Jakarta	0	9	FullDelay	0.0791512	79151.2	1	3
8.4845	Osaka	0	6	LastDelay	0.0119653	11965.3	1	3
8.4845	Osaka	0	6	FullDelay	0.0119653	11965.3	1	3
8.92918	Melbourne	0	8	LastDelay	0.0999645	99964.5	1	4
8.92918	Melbourne	0	8	FullDelay	0.0999645	99964.5	1	4
9.10548	Jakarta	0	10	LastDelay	0.0846771	84677.1	1	3
9.10548	Jakarta	0	10	FullDelay	0.0846771	84677.1	1	3
9.38499	Osaka	0	7	LastDelay	0.0119653	11965.3	1	3
9.38499	Osaka	0	7	FullDelay	0.0119653	11965.3	1	3
9.3852	LA	0	10	LastDelay	0.252997	252997	1	3
9.3852	LA	0	10	FullDelay	0.252997	252997	1	3
9.86806	Jakarta	0	11	LastDelay	0.0791512	79151.2	1	3
9.86806	Jakarta	0	11	FullDelay	0.0791512	79151.2	1	3
9.87317	LA	0	11	LastDelay	0.258523	258523	1	3
9.87317	LA	0	11	FullDelay	0.258523	258523	1	3
