location,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694
timestamp,max,min,mean
20100610T0000,97.0,39.0,72.625
20100611T0000,97.0,61.0,75.875
20100612T0000,92.0,65.0,77.291664
20100613T0000,96.0,80.0,86.5
20100614T0000,96.0,69.0,81.125
20100615T0000,96.0,75.0,88.583336
20100616T0000,96.0,64.0,81.958336
20100617T0000,97.0,78.0,90.0
20100618T0000,97.0,74.0,84.75
20100619T0000,94.0,69.0,81.958336
20100620T0000,95.0,61.0,74.583336
20100621T0000,92.0,64.0,77.583336
20100622T0000,93.0,55.0,73.375
20100623T0000,94.0,45.0,67.458336
20100624T0000,94.0,56.0,69.291664
20100625T0000,80.0,48.0,63.833332
20100626T0000,94.0,54.0,71.708336
20100627T0000,98.0,57.0,73.916664
20100628T0000,81.0,52.0,66.583336
20100629T0000,79.0,46.0,62.958332
20100630T0000,90.0,52.0,67.875
20100701T0000,91.0,50.0,68.291664
20100702T0000,83.0,50.0,63.75
20100703T0000,90.0,50.0,68.5
20100704T0000,93.0,75.0,83.375
20100705T0000,94.0,47.0,69.458336
20100706T0000,93.0,54.0,72.458336
20100707T0000,90.0,49.0,66.833336
20100708T0000,76.0,44.0,59.958332
20100709T0000,83.0,50.0,61.125
20100710T0000,76.0,50.0,60.916668
20100711T0000,81.0,53.0,65.958336
20100712T0000,92.0,45.0,72.083336
20100713T0000,97.0,59.0,77.25
20100714T0000,85.0,46.0,65.333336
20100715T0000,88.0,57.0,66.875
20100716T0000,91.0,42.0,64.083336
20100717T0000,79.0,60.0,67.625
20100718T0000,84.0,49.0,68.208336
20100719T0000,96.0,46.0,70.416664
20100720T0000,87.0,50.0,67.75
20100721T0000,86.0,46.0,62.875
20100722T0000,94.0,73.0,83.708336
20100723T0000,96.0,80.0,87.458336
20100724T0000,91.0,54.0,73.208336
20100725T0000,81.0,45.0,62.708332
20100726T0000,95.0,70.0,82.958336
20100727T0000,94.0,52.0,71.208336
20100728T0000,88.0,64.0,77.583336
20100729T0000,98.0,71.0,82.75
20100730T0000,91.0,55.0,73.125
20100731T0000,84.0,46.0,63.208332
20100801T0000,90.0,47.0,65.75
20100802T0000,96.0,83.0,90.125
20100803T0000,91.0,64.0,76.625
20100804T0000,86.0,51.0,69.416664
20100805T0000,95.0,67.0,81.083336
20100806T0000,86.0,52.0,66.541664
20100807T0000,84.0,52.0,67.0
20100808T0000,89.0,65.0,74.041664
20100809T0000,95.0,49.0,70.375
20100810T0000,88.0,48.0,67.375
20100811T0000,88.0,57.0,69.25
20100812T0000,96.0,70.0,82.75
20100813T0000,90.0,57.0,74.75
20100814T0000,97.0,64.0,82.583336
20100815T0000,97.0,74.0,82.625
20100816T0000,85.0,69.0,77.958336
20100817T0000,81.0,59.0,72.625
20100818T0000,87.0,63.0,72.833336
20100819T0000,89.0,59.0,73.166664
20100820T0000,94.0,60.0,74.416664
20100821T0000,85.0,55.0,69.833336
20100822T0000,89.0,48.0,68.125
20100823T0000,97.0,58.0,75.375
20100824T0000,95.0,70.0,79.5
20100825T0000,92.0,49.0,67.333336
20100826T0000,89.0,42.0,65.25
20100827T0000,87.0,64.0,76.708336
20100828T0000,92.0,61.0,77.0
20100829T0000,88.0,53.0,70.083336
20100830T0000,88.0,72.0,81.291664
20100831T0000,96.0,56.0,76.416664
20100901T0000,92.0,48.0,72.416664
20100902T0000,90.0,58.0,75.625
20100903T0000,96.0,60.0,76.25
20100904T0000,91.0,58.0,74.333336
20100905T0000,93.0,57.0,76.333336
