timestamp,max,min,mean
19850612T0000,100.0,50.0,75.416664
19850613T0000,100.0,64.0,77.291664
19850614T0000,100.0,48.0,77.375
19850615T0000,100.0,59.0,82.875
19850616T0000,96.0,50.0,73.75
19850617T0000,99.0,52.0,80.375
19850618T0000,100.0,48.0,75.666664
19850619T0000,100.0,47.0,80.375
19850620T0000,100.0,64.0,84.75
19850621T0000,100.0,62.0,81.375
19850622T0000,98.0,50.0,78.583336
19850623T0000,100.0,66.0,85.833336
19850624T0000,100.0,74.0,87.958336
19850625T0000,96.0,62.0,80.291664
19850626T0000,99.0,57.0,78.458336
19850627T0000,95.0,57.0,74.416664
19850628T0000,100.0,67.0,81.25
19850629T0000,97.0,56.0,79.375
19850630T0000,98.0,61.0,82.125
19850701T0000,100.0,73.0,85.625
19850702T0000,98.0,65.0,85.208336
19850703T0000,97.0,58.0,80.208336
19850704T0000,98.0,65.0,83.791664
19850705T0000,100.0,85.0,93.0
19850706T0000,100.0,80.0,92.416664
19850707T0000,100.0,68.0,86.75
19850708T0000,96.0,64.0,84.125
19850709T0000,100.0,57.0,79.458336
19850710T0000,99.0,63.0,82.708336
19850711T0000,96.0,59.0,82.458336
19850712T0000,98.0,61.0,80.833336
19850713T0000,98.0,58.0,81.291664
19850714T0000,97.0,56.0,80.75
19850715T0000,99.0,64.0,83.208336
19850716T0000,100.0,60.0,86.333336
19850717T0000,98.0,65.0,83.666664
19850718T0000,98.0,50.0,75.583336
19850719T0000,98.0,59.0,81.916664
19850720T0000,98.0,58.0,79.125
19850721T0000,81.0,51.0,64.666664
19850722T0000,94.0,53.0,70.166664
19850723T0000,97.0,57.0,75.125
19850724T0000,100.0,57.0,82.0
19850725T0000,97.0,50.0,77.875
19850726T0000,98.0,50.0,73.958336
19850727T0000,93.0,58.0,76.833336
19850728T0000,99.0,47.0,73.375
19850729T0000,98.0,60.0,80.708336
19850730T0000,93.0,49.0,72.333336
19850731T0000,100.0,65.0,80.5
19850801T0000,98.0,70.0,84.0
19850802T0000,97.0,56.0,77.041664
19850803T0000,100.0,51.0,72.5
19850804T0000,86.0,56.0,68.625
19850805T0000,91.0,38.0,67.083336
19850806T0000,96.0,69.0,79.458336
19850807T0000,95.0,60.0,78.083336
19850808T0000,100.0,57.0,73.791664
19850809T0000,97.0,47.0,76.958336
19850810T0000,98.0,68.0,81.416664
19850811T0000,100.0,54.0,78.583336
19850812T0000,100.0,56.0,80.916664
19850813T0000,98.0,46.0,76.416664
19850814T0000,98.0,42.0,69.833336
19850815T0000,97.0,53.0,76.791664
19850816T0000,100.0,53.0,77.125
19850817T0000,94.0,46.0,68.208336
19850818T0000,81.0,54.0,68.458336
19850819T0000,98.0,46.0,68.916664
19850820T0000,85.0,55.0,69.5
19850821T0000,100.0,49.0,70.708336
19850822T0000,100.0,42.0,72.166664
19850823T0000,100.0,54.0,76.416664
19850824T0000,100.0,57.0,80.583336
19850825T0000,97.0,66.0,89.416664
19850826T0000,86.0,60.0,73.458336
19850827T0000,100.0,65.0,82.375
19850828T0000,97.0,55.0,81.708336
19850829T0000,100.0,54.0,83.083336
19850830T0000,97.0,55.0,81.166664
19850831T0000,97.0,44.0,71.708336
19850901T0000,96.0,63.0,81.125
19850902T0000,98.0,44.0,72.833336
19850903T0000,96.0,84.0,91.583336
19850904T0000,87.0,64.0,74.083336
19850905T0000,94.0,56.0,72.458336
19850906T0000,96.0,46.0,69.416664
19850907T0000,100.0,38.0,64.125
19850908T0000,84.0,39.0,59.583332
19850909T0000,89.0,54.0,69.125
19850910T0000,100.0,58.0,78.083336
19850911T0000,100.0,44.0,74.083336
19850912T0000,100.0,49.0,78.458336
19850913T0000,100.0,47.0,78.916664
19850914T0000,100.0,79.0,91.375
19850915T0000,97.0,55.0,77.083336
19850916T0000,83.0,61.0,74.708336
19850917T0000,94.0,56.0,74.125
19850918T0000,100.0,60.0,84.416664
19850919T0000,97.0,43.0,72.375
19850920T0000,87.0,44.0,66.625
19850921T0000,91.0,45.0,67.125
19850922T0000,83.0,40.0,63.916668
19850923T0000,91.0,49.0,69.375
19850924T0000,96.0,51.0,71.75
19850925T0000,99.0,63.0,79.625
19850926T0000,100.0,61.0,82.666664
19850927T0000,98.0,59.0,81.083336
19850928T0000,100.0,53.0,79.708336
19850929T0000,100.0,58.0,82.708336
19850930T0000,98.0,51.0,80.375
19851001T0000,100.0,40.0,69.791664
19851002T0000,84.0,38.0,62.291668
19851003T0000,93.0,37.0,63.333332
19851004T0000,92.0,40.0,62.5
19851005T0000,97.0,75.0,89.166664
19851006T0000,100.0,63.0,84.958336
19851007T0000,97.0,49.0,75.458336
19851008T0000,87.0,56.0,74.791664
19851009T0000,75.0,43.0,58.375
19851010T0000,94.0,50.0,71.958336
19851011T0000,100.0,48.0,76.208336
19851012T0000,100.0,52.0,81.416664
19851013T0000,96.0,50.0,77.125
19851014T0000,98.0,41.0,70.833336
19851015T0000,100.0,63.0,83.291664
19851016T0000,96.0,51.0,79.541664
19851017T0000,99.0,44.0,73.416664
19851018T0000,92.0,50.0,71.291664
19851019T0000,95.0,69.0,81.833336
19851020T0000,100.0,59.0,82.708336
19851021T0000,100.0,51.0,80.041664
19851022T0000,99.0,57.0,82.083336
19851023T0000,99.0,64.0,82.416664
19851024T0000,96.0,55.0,77.041664
19851025T0000,100.0,39.0,72.541664
19851026T0000,99.0,42.0,72.625
19851027T0000,100.0,52.0,78.375
19851028T0000,100.0,53.0,80.916664
19851029T0000,99.0,57.0,81.416664
19851030T0000,100.0,44.0,69.75
19851031T0000,100.0,42.0,66.833336
19851101T0000,98.0,61.0,81.833336
19851102T0000,100.0,63.0,78.625
19851103T0000,100.0,56.0,77.75
19851104T0000,100.0,46.0,75.416664
